topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy,mrr
topic-12722,recommender system,recommendation engine,embedding_limit_100,recommendation engine,"[""recommendation engine"", ""decision support systems"", ""decision aid systems"", ""decision analysis"", ""automatic language analysis""]",5,0.21391844749450684,True,True,1.0,0.9999997615814209,True,True,1.0
topic-2484,stocks,shares,embedding_limit_100,stock market,"[""stock market"", ""shares"", ""investing"", ""equity market"", ""investment""]",5,0.023197174072265625,False,True,1.0,1.0,True,True,0.5
topic-4285,equity market,stock market,embedding_limit_100,stock market,"[""stock market"", ""stocks"", ""investing"", ""investor behaviour"", ""investment""]",5,0.020763635635375977,True,True,1.0,1.000000238418579,True,True,1.0
topic-3721,liability law,responsibility law,embedding_limit_100,responsibility law,"[""responsibility law"", ""asset liability management"", ""financial law"", ""civil litigation law"", ""tax law""]",5,0.021914005279541016,True,True,1.0,1.0000001192092896,True,True,1.0
topic-1274,accountancy,financial auditing,embedding_limit_100,accounting,"[""accounting"", ""financial accounting"", ""banking systems"", ""financial auditing"", ""financial systems""]",5,0.021920442581176758,False,True,1.0,1.0000001192092896,False,True,0.25
topic-5882,auditors,financial examiners,embedding_limit_100,financial examiners,"[""financial examiners"", ""financial auditing"", ""accounting"", ""financial accounting"", ""companies""]",5,0.02298283576965332,True,True,1.0,1.0,True,True,1.0
topic-1276,accounting,financial accounting,embedding_limit_100,financial accounting,"[""financial accounting"", ""accountancy"", ""financial auditing"", ""financial examiners"", ""financial systems""]",5,0.021821022033691406,True,True,1.0,1.0000001192092896,True,True,1.0
topic-1953,acculturation,cultural adaptation,embedding_limit_100,destitution,"[""destitution"", ""cultural adaptation"", ""americanization"", ""Americanisation"", ""accountancy""]",5,0.020953655242919922,False,True,1.0,1.0,True,True,0.5
topic-1919,actual pastoral liturgical practice,current liturgical practice,embedding_limit_100,current liturgical practice,"[""current liturgical practice"", ""Bible and culture"", ""New Testament studies"", ""biblical studies"", ""bible studies; exegesis""]",5,0.021425247192382812,True,True,1.0,1.0000001192092896,True,True,1.0
topic-1980,adhd,attention deficit disorder,embedding_limit_100,attention deficit disorder,"[""attention deficit disorder"", ""anxiety"", ""occupational diseases"", ""occupational health"", ""adorno""]",5,0.021294593811035156,True,True,1.0,0.9999998807907104,True,True,1.0
topic-4079,administrative law,regulatory law,embedding_limit_100,administrative procedural law,"[""administrative procedural law"", ""administrative litigation"", ""administrative organisation"", ""public administration"", ""administrative reform""]",5,0.022229433059692383,False,False,0.41860465116279066,0.45204851031303406,False,False,0.0
topic-2276,adorno,critical theorist,embedding_limit_100,aristoteles,"[""aristoteles"", ""adhd"", ""brabant"", ""strangers"", ""Aristotle""]",5,0.023362398147583008,False,False,0.4285714285714286,0.29047471284866333,False,False,0.0
topic-2250,africa,Sub-Saharan region,embedding_limit_100,Sub-Saharan region,"[""Sub-Saharan region"", ""refugees"", ""Arabian"", ""foreigners"", ""poverty""]",5,0.0200803279876709,True,True,1.0,1.0,True,True,1.0
