topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,fuzzy_similarity,semantic_similarity,mrr
topic-12722,recommender system,recommendation engine,llm_rerank_llama3.2_3b_full,recommendation engine,"[""recommendation engine"", ""collaborative networks"", ""collaborative systems"", ""information retrieval system"", ""social networks""]",5,1.9674029350280762,True,True,True,True,1.0,0.9999997615814209,1.0
topic-2484,stocks,shares,llm_rerank_llama3.2_3b_full,shares,"[""shares"", ""stock market"", ""capital markets"", ""investment funds"", ""investing""]",5,1.709768533706665,True,True,True,True,1.0,1.0,1.0
topic-4285,equity market,stock market,llm_rerank_llama3.2_3b_full,stock market,"[""stock market"", ""capital markets"", ""shares"", ""investing"", ""financial economics""]",5,1.5378544330596924,True,True,True,True,1.0,1.000000238418579,1.0
topic-3721,liability law,responsibility law,llm_rerank_llama3.2_3b_full,contract law,"[""contract law"", ""business law"", ""corporate law"", ""penal law"", ""financial law""]",5,1.2274081707000732,False,False,False,False,0.5185185185185186,0.57210373878479,0.0
topic-1274,accountancy,financial auditing,llm_rerank_llama3.2_3b_full,financial accounting,"[""financial accounting"", ""financial reporting"", ""balance sheet management"", ""financial auditing"", ""financial systems""]",5,1.230710506439209,False,True,False,True,1.0,1.0000001192092896,0.25
topic-5882,auditors,financial examiners,llm_rerank_llama3.2_3b_full,financial examiners,"[""financial examiners"", ""financial auditing"", ""financial accounting"", ""financial instruments"", ""financial reporting""]",5,1.581007719039917,True,True,True,True,1.0,1.0,1.0
topic-1276,accounting,financial accounting,llm_rerank_llama3.2_3b_full,financial accounting,"[""financial accounting"", ""global accounting standards"", ""financial management"", ""financial reporting"", ""financial auditing""]",5,1.2186124324798584,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1953,acculturation,cultural adaptation,llm_rerank_llama3.2_3b_full,cultural adaptation,"[""cultural adaptation"", ""Americanisation"", ""consolidations"", ""advancement"", ""awareness""]",5,1.0860207080841064,True,True,True,True,1.0,0.9999999403953552,1.0
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_rerank_llama3.2_3b_full,current liturgical practice,"[""current liturgical practice"", ""Catholic pastoral care"", ""liturgical theology"", ""sociology of pastoral care"", ""Pastoral Counseling Psychology""]",5,1.6371047496795654,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1980,adhd,attention deficit disorder,llm_rerank_llama3.2_3b_full,attention deficit disorder,"[""attention deficit disorder"", ""learning disabilities"", ""health psychology"", ""cognitive decline"", ""psychological disorders""]",5,1.815974235534668,True,True,True,True,1.0,0.9999998807907104,1.0
