topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy,mrr
topic-12722,recommender system,recommendation engine,same_term_limit_100,recommender system,"[""recommender system""]",1,1.1920928955078125e-06,False,False,0.5641025641025641,0.8017131090164185,False,False,0.0
topic-2484,stocks,shares,same_term_limit_100,stocks,"[""stocks""]",1,9.5367431640625e-07,False,False,0.33333333333333337,0.6918751001358032,False,False,0.0
topic-4285,equity market,stock market,same_term_limit_100,equity market,"[""equity market""]",1,4.76837158203125e-07,False,False,0.64,0.8036891222000122,False,False,0.0
topic-3721,liability law,responsibility law,same_term_limit_100,liability law,"[""liability law""]",1,2.384185791015625e-07,False,False,0.7096774193548387,0.681944727897644,False,False,0.0
topic-1274,accountancy,financial auditing,same_term_limit_100,accountancy,"[""accountancy""]",1,4.76837158203125e-07,False,False,0.3448275862068966,0.5266649723052979,False,False,0.0
topic-5882,auditors,financial examiners,same_term_limit_100,auditors,"[""auditors""]",1,4.76837158203125e-07,False,False,0.2962962962962963,0.6801270842552185,False,False,0.0
topic-1276,accounting,financial accounting,same_term_limit_100,accounting,"[""accounting""]",1,7.152557373046875e-07,False,False,0.6666666666666667,0.8892039656639099,False,False,0.0
topic-1953,acculturation,cultural adaptation,same_term_limit_100,acculturation,"[""acculturation""]",1,4.76837158203125e-07,False,False,0.6875,0.39237111806869507,False,False,0.0
topic-1919,actual pastoral liturgical practice,current liturgical practice,same_term_limit_100,actual pastoral liturgical practice,"[""actual pastoral liturgical practice""]",1,4.76837158203125e-07,False,False,0.7419354838709676,0.8342791795730591,False,False,0.0
topic-1980,adhd,attention deficit disorder,same_term_limit_100,adhd,"[""adhd""]",1,4.76837158203125e-07,False,False,0.19999999999999996,0.723759651184082,False,False,0.0
topic-4079,administrative law,regulatory law,same_term_limit_100,administrative law,"[""administrative law""]",1,4.76837158203125e-07,False,False,0.4375,0.5233328342437744,False,False,0.0
topic-2276,adorno,critical theorist,same_term_limit_100,adorno,"[""adorno""]",1,4.76837158203125e-07,False,False,0.26086956521739135,0.21302185952663422,False,False,0.0
topic-2250,africa,Sub-Saharan region,same_term_limit_100,africa,"[""africa""]",1,2.384185791015625e-07,False,False,0.25,0.6281067132949829,False,False,0.0
topic-1280,agricultural economy,agricultural economics,same_term_limit_100,agricultural economy,"[""agricultural economy""]",1,2.384185791015625e-07,False,False,0.9047619047619048,0.8946830034255981,False,False,0.0
topic-7782,aggression,hostility,same_term_limit_100,aggression,"[""aggression""]",1,2.384185791015625e-07,False,False,0.21052631578947367,0.6816224455833435,False,False,0.0
topic-5124,alcohol addiction,alcohol dependence,same_term_limit_100,alcohol addiction,"[""alcohol addiction""]",1,2.384185791015625e-07,False,False,0.6285714285714286,0.8469732999801636,False,False,0.0
topic-2500,general econometrics,economic statistics,same_term_limit_100,general econometrics,"[""general econometrics""]",1,7.152557373046875e-07,False,False,0.5128205128205128,0.6937490701675415,False,False,0.0
topic-2501,alliances and joint ventures,strategic partnerships,same_term_limit_100,alliances and joint ventures,"[""alliances and joint ventures""]",1,4.76837158203125e-07,False,False,0.36,0.7198052406311035,False,False,0.0
topic-1285,foreigners,strangers,same_term_limit_100,foreigners,"[""foreigners""]",1,2.384185791015625e-07,False,False,0.5263157894736843,0.416897177696228,False,False,0.0
topic-10501,americanization,Americanisation,same_term_limit_100,americanization,"[""americanization""]",1,2.384185791015625e-07,False,False,0.9333333333333332,0.9272270798683167,False,False,0.0
topic-9362,anxiety,worry,same_term_limit_100,anxiety,"[""anxiety""]",1,2.384185791015625e-07,False,False,0.16666666666666663,0.47164100408554077,False,False,0.0
topic-16802,"Antarctic, Arctic, Polar Regions",polar areas,same_term_limit_100,"Antarctic, Arctic, Polar Regions","[""Antarctic, Arctic, Polar Regions""]",1,4.76837158203125e-07,False,False,0.4390243902439024,0.6824129819869995,False,False,0.0
topic-1290,"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,same_term_limit_100,"anthropology and philosophy of religion, relation","[""anthropology and philosophy of religion, relation""]",1,2.384185791015625e-07,False,False,0.5094339622641509,0.9297840595245361,False,False,0.0
topic-1291,arabic,Arabian,same_term_limit_100,arabic,"[""arabic""]",1,4.76837158203125e-07,False,False,0.7692307692307692,0.7408484220504761,False,False,0.0
topic-1292,labour and health,occupational health,same_term_limit_100,labour and health,"[""labour and health""]",1,2.384185791015625e-07,False,False,0.6111111111111112,0.5833357572555542,False,False,0.0
topic-1293,industrial and organisational psychology,work psychology,same_term_limit_100,industrial and organisational psychology,"[""industrial and organisational psychology""]",1,2.384185791015625e-07,False,False,0.47272727272727283,0.7130119800567627,False,False,0.0
topic-6581,working hours,working time,same_term_limit_100,working hours,"[""working hours""]",1,4.76837158203125e-07,False,False,0.64,0.8332280516624451,False,False,0.0
topic-1296,labour economics,employment economics,same_term_limit_100,labour economics,"[""labour economics""]",1,4.76837158203125e-07,False,False,0.6666666666666667,0.7844510674476624,False,False,0.0
topic-2201,labour market,employment market,same_term_limit_100,labour market,"[""labour market""]",1,4.76837158203125e-07,False,False,0.6,0.7667472958564758,False,False,0.0
topic-6603,labour market policy,employment policy,same_term_limit_100,labour market policy,"[""labour market policy""]",1,4.76837158203125e-07,False,False,0.6486486486486487,0.7137025594711304,False,False,0.0
topic-1298,labour market issues,employment issues,same_term_limit_100,labour market issues,"[""labour market issues""]",1,2.384185791015625e-07,False,False,0.6486486486486487,0.7138620615005493,False,False,0.0
topic-1299,job motivation,work motivation,same_term_limit_100,job motivation,"[""job motivation""]",1,7.152557373046875e-07,False,False,0.8275862068965517,0.9033404588699341,False,False,0.0
topic-6661,working conditions,employment conditions,same_term_limit_100,working conditions,"[""working conditions""]",1,4.76837158203125e-07,False,False,0.6666666666666667,0.7422128915786743,False,False,0.0
