term,ground_truth,method,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
recommender system,recommendation engine,embedding_only,recommendation engine,"[""recommendation engine"", ""collaborative networks"", ""collaborative systems"", ""collaborative information systems"", ""information retrieval system""]",5,0.1790521144866943,True,True,True,1.0,1.0,1.0,1
stocks,shares,embedding_only,stock market,"[""stock market"", ""stock management"", ""stock control"", ""shares"", ""investing""]",5,0.0037469863891601,False,False,True,0.0,0.430676558073393,0.25,4
equity market,stock market,embedding_only,stock market,"[""stock market"", ""capital markets"", ""market analysis"", ""market strategy"", ""investing""]",5,0.0030651092529296,True,True,True,1.0,1.0,1.0,1
liability law,responsibility law,embedding_only,responsibility law,"[""responsibility law"", ""business law"", ""corporate law"", ""medical law"", ""penal law""]",5,0.0034260749816894,True,True,True,1.0,1.0,1.0,1
accountancy,financial auditing,embedding_only,financial accounting,"[""financial accounting"", ""financial management"", ""financial auditing"", ""financial systems"", ""financial instruments""]",5,0.0026402473449707,False,True,True,0.5,0.5,0.3333333333333333,3
auditors,financial examiners,embedding_only,financial examiners,"[""financial examiners"", ""financial auditing"", ""financial accounting"", ""financial instruments"", ""investigation""]",5,0.0027904510498046,True,True,True,1.0,1.0,1.0,1
accounting,financial accounting,embedding_only,financial accounting,"[""financial accounting"", ""financial management"", ""financial auditing"", ""financial instruments"", ""global accounting standards""]",5,0.0051832199096679,True,True,True,1.0,1.0,1.0,1
acculturation,cultural adaptation,embedding_only,destitution,"[""destitution"", ""rebirth"", ""cultural adaptation"", ""consolidations"", ""advancement""]",5,0.0030245780944824,False,True,True,0.5,0.5,0.3333333333333333,3
actual pastoral liturgical practice,current liturgical practice,embedding_only,liturgical theology,"[""liturgical theology"", ""current liturgical practice"", ""Catholic pastoral care"", ""sociology of pastoral care"", ""Pastoral Counseling Psychology""]",5,0.0025801658630371,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
adhd,attention deficit disorder,embedding_only,attention deficit disorder,"[""attention deficit disorder"", ""psychological disorders"", ""seizure disorder"", ""learning disabilities"", ""baby mental health""]",5,0.002795934677124,True,True,True,1.0,1.0,1.0,1
administrative law,regulatory law,embedding_only,administrative litigation,"[""administrative litigation"", ""EU administrative law"", ""administrative organisation"", ""administration"", ""business law""]",5,0.0044164657592773,False,False,False,0.0,0.0,0.0,-1
adorno,critical theorist,embedding_only,Teutonic,"[""Teutonic"", ""Friedrich Heinrich Jacobi"", ""Jacob"", ""Marxism"", ""nationality""]",5,0.0026209354400634,False,False,False,0.0,0.0,0.0,-1
africa,Sub-Saharan region,embedding_only,Sub-Saharan region,"[""Sub-Saharan region"", ""East Europe"", ""nationhood"", ""refugees"", ""developing countries""]",5,0.0025465488433837,True,True,True,1.0,1.0,1.0,1
agricultural economy,agricultural economics,embedding_only,agricultural economics,"[""agricultural economics"", ""economic development"", ""industrial economics"", ""farming"", ""national economics""]",5,0.0046370029449462,True,True,True,1.0,1.0,1.0,1
aggression,hostility,embedding_only,hostility,"[""hostility"", ""senseless violence"", ""self-control"", ""Cooperation"", ""interpersonal psychology""]",5,0.0027658939361572,True,True,True,1.0,1.0,1.0,1
recommender system,recommendation engine,llm_zero_shot,information retrieval system,"[""information retrieval system"", ""recommendation engine"", ""information search"", ""collaborative networks"", ""collaborative information systems""]",5,0.7213313579559326,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
stocks,shares,llm_zero_shot,shares,"[""shares"", ""investing"", ""investment funds"", ""capital markets"", ""investment fund""]",5,0.5658159255981445,True,True,True,1.0,1.0,1.0,1
equity market,stock market,llm_zero_shot,stock market,"[""stock market"", ""capital markets"", ""financial economics"", ""market analysis"", ""stock management""]",5,0.5896749496459961,True,True,True,1.0,1.0,1.0,1
liability law,responsibility law,llm_zero_shot,medical law,"[""medical law"", ""responsibility law"", ""corporate law"", ""business law"", ""penal law""]",5,0.6543710231781006,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
