topic,term,ground_truths,method,domain,term_type,prediction,candidates,exact_match,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy,top_10_accuracy,top_5_fuzzy_accuracy,top_10_fuzzy_accuracy,mrr,mrr_fuzzy
topic-12722,recommender system,"[""recommendation engine""]",same_term_baseline,,,recommender system,"[""recommender system""]",False,0.5641025641025641,0.8017131090164185,False,False,False,False,False,0.0,0.0
topic-12722,recommender system,"[""recommendation engine""]",llm_single_prompt_small,,,Personalization system,"[""Personalization system""]",False,0.4651162790697675,0.4932475686073303,False,False,False,False,False,0.0,0.0
topic-12722,recommender system,"[""recommendation engine""]",llm_single_prompt_large,,,recommender system,"[""recommender system""]",False,0.5641025641025641,0.8017131090164185,False,False,False,False,False,0.0,0.0
topic-12722,recommender system,"[""recommendation engine""]",mas_parallel,artificial intelligence and machine learning,compound,Collaborative filtering model,"[""Collaborative filtering model"", ""Personalized recommendation engine"", ""Recommendation framework""]",False,0.4,0.6666855812072754,False,False,False,True,True,0.0,0.5
topic-2484,stocks,"[""shares""]",same_term_baseline,,,stocks,"[""stocks""]",False,0.33333333333333337,0.6918749809265137,False,False,False,False,False,0.0,0.0
topic-2484,stocks,"[""shares""]",llm_single_prompt_small,,,shares,"[""shares""]",True,1.0,1.0,True,True,True,True,True,1.0,1.0
topic-2484,stocks,"[""shares""]",llm_single_prompt_large,,,germplasm,"[""germplasm""]",False,0.2666666666666667,0.07902839034795761,False,False,False,False,False,0.0,0.0
topic-2484,stocks,"[""shares""]",mas_parallel,finance,simple,equities,"[""equities"", ""securities"", ""shares""]",False,0.2857142857142857,0.3933376371860504,True,True,True,True,True,0.3333333333333333,0.3333333333333333
topic-4285,equity market,"[""stock market""]",same_term_baseline,,,equity market,"[""equity market""]",False,0.64,0.8036888837814331,False,False,False,False,False,0.0,0.0
topic-4285,equity market,"[""stock market""]",llm_single_prompt_small,,,Capital market,"[""Capital market""]",False,0.6153846153846154,0.7884631156921387,False,False,False,False,False,0.0,0.0
topic-4285,equity market,"[""stock market""]",llm_single_prompt_large,,,stock market,"[""stock market""]",True,1.0,1.0,True,True,True,True,True,1.0,1.0
topic-4285,equity market,"[""stock market""]",mas_parallel,finance and economics,compound,financial market,"[""financial market"", ""stock market"", ""capital market"", ""Securities market"", ""share market"", ""Exchange market"", ""Bourse"", ""Stock exchange""]",False,0.5714285714285714,0.8024312257766724,True,True,True,True,True,0.5,0.5
topic-3721,liability law,"[""responsibility law""]",same_term_baseline,,,liability law,"[""liability law""]",False,0.7096774193548387,0.6819446086883545,False,False,False,False,False,0.0,0.0
topic-3721,liability law,"[""responsibility law""]",llm_single_prompt_small,,,Tort law,"[""Tort law""]",False,0.4615384615384615,0.4372226595878601,False,False,False,False,False,0.0,0.0
topic-3721,liability law,"[""responsibility law""]",llm_single_prompt_large,,,obligation law,"[""obligation law""]",False,0.5625,0.7249870300292969,False,False,False,False,False,0.0,0.0
topic-3721,liability law,"[""responsibility law""]",mas_parallel,law and economics,compound,Negligence law,"[""Negligence law"", ""Civil liability"", ""Tort law"", ""Product liability"", ""fault-based liability"", ""Economic torts"", ""jurisprudence of obligations"", ""Legal obligation"", ""Contractual responsibility"", ""duty of care legislation""]",False,0.4375,0.6681857109069824,False,False,False,False,True,0.0,0.1111111111111111
topic-1274,accountancy,"[""financial auditing""]",same_term_baseline,,,accountancy,"[""accountancy""]",False,0.3448275862068966,0.5266649723052979,False,False,False,False,False,0.0,0.0
topic-1274,accountancy,"[""financial auditing""]",llm_single_prompt_small,,,Finance,"[""Finance""]",False,0.48,0.568318247795105,False,False,False,False,False,0.0,0.0
topic-1274,accountancy,"[""financial auditing""]",llm_single_prompt_large,,,accounting science,"[""accounting science""]",False,0.38888888888888884,0.6471587419509888,False,False,False,False,False,0.0,0.0
topic-1274,accountancy,"[""financial auditing""]",mas_parallel,accounting,simple,Accounting practice,"[""Accounting practice"", ""Auditing"", ""Commercial accounting"", ""Public accounting"", ""Bookkeeping"", ""Auditing and assurance"", ""Taxation""]",False,0.3783783783783784,0.6047161221504211,False,False,False,True,True,0.0,0.5
