topic,term,ground_truth,method,domain,prediction,candidates,exact_match,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy
topic-12722,recommender system,recommendation engine,same_term_baseline,,recommender system,"[""recommender system""]",False,0.5641025641025641,0.8017131090164185,False,False
topic-12722,recommender system,recommendation engine,llm_single_prompt_baseline,,Personalization system,"[""Personalization system""]",False,0.4651162790697675,0.4932475686073303,False,False
topic-12722,recommender system,recommendation engine,mas_langgraph,Information Systems,Collaborative filtering algorithm,"[""Collaborative filtering algorithm"", ""Personalized recommendation engine"", ""Knowledge graph-based recommender"", ""Inference-driven recommendation model"", ""Hybrid content-based approach""]",False,0.3703703703703704,0.684691309928894,False,False
topic-2484,stocks,shares,same_term_baseline,,stocks,"[""stocks""]",False,0.3333333333333333,0.6918749809265137,False,False
topic-2484,stocks,shares,llm_single_prompt_baseline,,Shares,"[""Shares""]",True,1.0,1.0,True,True
topic-2484,stocks,shares,mas_langgraph,Finance,Shares,"[""Shares"", ""Securities"", ""Equities""]",True,1.0,1.0,True,True
topic-4285,equity market,stock market,same_term_baseline,,equity market,"[""equity market""]",False,0.64,0.8036888837814331,False,False
topic-4285,equity market,stock market,llm_single_prompt_baseline,,Capital market,"[""Capital market""]",False,0.6153846153846154,0.7884631156921387,False,False
topic-4285,equity market,stock market,mas_langgraph,Finance,Securities market,"[""Securities market"", ""Financial market"", ""Capital market"", ""Bourse""]",False,0.6206896551724138,0.8117303848266602,False,False
topic-3721,liability law,responsibility law,same_term_baseline,,liability law,"[""liability law""]",False,0.7096774193548387,0.6819446086883545,False,False
topic-3721,liability law,responsibility law,llm_single_prompt_baseline,,Tort law,"[""Tort law""]",False,0.4615384615384615,0.4372226595878601,False,False
topic-3721,liability law,responsibility law,mas_langgraph,Law,Legal obligation,"[""Legal obligation"", ""Tort law"", ""Responsibility doctrine"", ""Accountability principle"", ""Duty of care""]",False,0.3529411764705882,0.6893640160560608,False,False
topic-1274,accountancy,financial auditing,same_term_baseline,,accountancy,"[""accountancy""]",False,0.3448275862068966,0.5266649723052979,False,False
topic-1274,accountancy,financial auditing,llm_single_prompt_baseline,,Finance,"[""Finance""]",False,0.48,0.568318247795105,False,False
topic-1274,accountancy,financial auditing,mas_langgraph,Accounting,Bookkeeping,"[""Financial management"", ""Bookkeeping"", ""Financial analysis"", ""Financial reporting"", ""Auditing""]",False,0.2068965517241379,0.3934618234634399,False,False
topic-5882,auditors,financial examiners,same_term_baseline,,auditors,"[""auditors""]",False,0.2962962962962963,0.6801270246505737,False,False
topic-5882,auditors,financial examiners,llm_single_prompt_baseline,,Inspectors,"[""Inspectors""]",False,0.3448275862068966,0.4666460752487182,False,False
topic-5882,auditors,financial examiners,mas_langgraph,Accounting and Finance,Examiners,"[""Examiners"", ""Accountants"", ""Inspectors""]",False,0.6428571428571428,0.7280333638191223,False,False
topic-1276,accounting,financial accounting,same_term_baseline,,accounting,"[""accounting""]",False,0.6666666666666667,0.8892039656639099,False,False
topic-1276,accounting,financial accounting,llm_single_prompt_baseline,,auditing,"[""auditing""]",False,0.4285714285714286,0.5001630187034607,False,False
topic-1276,accounting,financial accounting,mas_langgraph,Accounting is classified under:,Bookkeeping,"[""Bookkeeping and accounting"", ""Financial reporting"", ""Bookkeeping"", ""Record-keeping""]",False,0.2580645161290322,0.4746177494525909,False,False
topic-1953,acculturation,cultural adaptation,same_term_baseline,,acculturation,"[""acculturation""]",False,0.6875,0.3923711478710174,False,False
topic-1953,acculturation,cultural adaptation,llm_single_prompt_baseline,,Assimilation,"[""Assimilation""]",False,0.4516129032258065,0.5315748453140259,False,False
topic-1953,acculturation,cultural adaptation,mas_langgraph,Sociology,Cultural assimilation,"[""Cultural assimilation"", ""Socialization"", ""Ethnic adaptation"", ""Cultural exchange"", ""Social integration"", ""Immigration adjustment""]",False,0.75,0.747761607170105,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,same_term_baseline,,actual pastoral liturgical practice,"[""actual pastoral liturgical practice""]",False,0.7419354838709676,0.8342791795730591,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_single_prompt_baseline,,pastoral care,"[""pastoral care""]",False,0.35,0.4580441117286682,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_langgraph,Theological Studies,Liturgical rites,"[""Liturgical rites"", ""Sacramental worship"", ""Divine service""]",False,0.6511627906976745,0.8322337865829468,False,False
topic-1980,adhd,attention deficit disorder,same_term_baseline,,adhd,"[""adhd""]",False,0.1999999999999999,0.7237597107887268,False,False
topic-1980,adhd,attention deficit disorder,llm_single_prompt_baseline,,hyperactivity,"[""hyperactivity""]",False,0.2564102564102564,0.3618717789649963,False,False
topic-1980,adhd,attention deficit disorder,mas_langgraph,Psychiatry,,[],False,0.0,0.0,False,False
topic-4079,administrative law,regulatory law,mas_langgraph,Law,Executive law,"[""Executive law"", ""Public law"", ""Statutory law""]",False,0.5185185185185186,0.5331318974494934,False,False
topic-2276,adorno,critical theorist,mas_langgraph,Philosophy,Philosopher,"[""Philosopher"", ""Theorist"", ""Thinker""]",False,0.3571428571428571,0.4844173491001129,False,False
topic-2250,africa,Sub-Saharan region,mas_langgraph,Geography,Continent,"[""Continent"", ""Region"", ""Territory""]",False,0.23076923076923073,0.4700242578983307,False,False
topic-1280,agricultural economy,agricultural economics,mas_langgraph,Economics,Agrarian economy,"[""Agrarian economy"", ""Rural economy"", ""Peasant economy"", ""Subsistence economy"", ""Land-based economy""]",False,0.631578947368421,0.7261523008346558,False,False
topic-7782,aggression,hostility,mas_langgraph,Psychology,Hostility,"[""Hostility"", ""Intimidation"", ""Belligerence"", ""Malice"", ""Vindictiveness""]",True,1.0,1.0,True,True
topic-5124,alcohol addiction,alcohol dependence,mas_langgraph,Psychiatry,Alcohol dependence syndrome,"[""Alcohol dependence syndrome"", ""Substance use disorder"", ""Substance dependence"", ""Chemical dependency""]",False,0.8,0.8951404690742493,False,False
topic-2500,general econometrics,economic statistics,mas_langgraph,Economics,Econometric modeling,"[""Econometric modeling"", ""Applied economic statistics"", ""Quantitative methods in economics"", ""Statistical analysis of economic systems""]",False,0.5128205128205128,0.6367859840393066,False,False
topic-2501,alliances and joint ventures,strategic partnerships,mas_langgraph,Business Administration,Joint Ventures,"[""Joint Ventures"", ""Partnerships"", ""Business Associations""]",False,0.2777777777777778,0.703303873538971,False,False
topic-1285,foreigners,strangers,mas_langgraph,Anthropology,Immigrant collectives,"[""Immigrant collectives"", ""Non-native populations"", ""Extraterritorial individuals"", ""Outsider groups"", ""Diasporic communities""]",False,0.33333333333333337,0.2416740357875824,False,False
topic-10501,americanization,Americanisation,mas_langgraph,Cultural Studies,Westernization,"[""Westernization"", ""Homogenization"", ""Anglicization""]",False,0.6206896551724138,0.6578419208526611,False,False
topic-9362,anxiety,worry,mas_langgraph,Psychology,Nervousness,"[""Nervousness"", ""Apprehension"", ""Unease"", ""Worry"", ""Distress""]",False,0.125,0.3855714797973633,False,True
topic-16802,"Antarctic, Arctic, Polar Regions",polar areas,mas_langgraph,Geography/Environmental Science,Glacial Regions,"[""Glacial Regions"", ""Cryospheric Areas"", ""Subpolar Territories""]",False,0.4615384615384615,0.3864547908306122,False,False
topic-1290,"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,mas_langgraph,Religious Studies,Philosophy of sacred texts,"[""Philosophy of sacred texts"", ""Theology and ethics"", ""Moral theology and philosophical reflection""]",False,0.2857142857142857,0.5311237573623657,False,False
topic-1291,arabic,Arabian,mas_langgraph,Linguistics,Arabian,"[""Arabian"", ""Persian"", ""Semitic""]",True,1.0,1.0000001192092896,True,True
topic-1292,labour and health,occupational health,mas_langgraph,Occupational Health,Health at work,"[""Health at work"", ""Workplace health concerns"", ""Industrial hygiene""]",False,0.36363636363636365,0.731093168258667,False,False
topic-1293,industrial and organisational psychology,work psychology,mas_langgraph,Psychology,Workplace Psychology,"[""Workplace Psychology"", ""Occupational Psychology"", ""Human Factors Psychology""]",False,0.8571428571428572,0.908562958240509,False,False
topic-6581,working hours,working time,mas_langgraph,Psychology,Professional hours,"[""Professional hours"", ""Work schedule"", ""Occupational time"", ""Shift length""]",False,0.2666666666666667,0.6070313453674316,False,False
topic-1296,labour economics,employment economics,mas_langgraph,Economics,Social economics,"[""Social economics"", ""Economic sociology"", ""Human capital economics"", ""Industrial relations""]",False,0.6111111111111112,0.6122039556503296,False,False
topic-2201,labour market,employment market,mas_langgraph,Economics,Employment market,"[""Employment market"", ""Job market"", ""Labour force"", ""Workforce""]",True,1.0,1.0,True,True
topic-6603,labour market policy,employment policy,mas_langgraph,Economics,Labour market intervention,"[""Labour market intervention"", ""Employment regulation"", ""Industrial relations policy"", ""Regulatory framework""]",False,0.32558139534883723,0.5161811709403992,False,False
topic-1298,labour market issues,employment issues,mas_langgraph,Economics/Social Sciences,Labour force difficulties,"[""Labour force difficulties"", ""Job market problems"", ""Employment challenges"", ""Occupational disparities""]",False,0.38095238095238093,0.6200019121170044,False,False
topic-1299,job motivation,work motivation,mas_langgraph,Psychology,Motivational impulse,"[""Motivational impulse"", ""Job fulfillment"", ""External incentive"", ""Professional interest"", ""Intrinsic drive""]",False,0.5714285714285714,0.6352798938751221,False,False
topic-6661,working conditions,employment conditions,mas_langgraph,Industrial Relations,Job environment,"[""Job environment"", ""Workplace atmosphere"", ""Industrial settings""]",False,0.33333333333333337,0.5249468088150024,False,False
topic-1300,work participation,employment participation,mas_langgraph,Economics/Social Sciences,Labor force participation,"[""Labor force participation"", ""Participation in economic activity""]",False,0.6938775510204082,0.7793296575546265,False,False
topic-1301,labour law,employment law,mas_langgraph,Law,Labour standards,"[""Labour standards"", ""Employment legislation"", ""Regulation of employment"", ""Industrial relations law""]",False,0.2666666666666667,0.5018975734710693,False,False
topic-1303,reduction of working hours,workweek reduction,mas_langgraph,Labor Economics,Shortening of working hours,"[""Shortening of working hours"", ""Reduced workday"", ""Condensed work schedule"", ""Time compression""]",False,0.3111111111111111,0.5687674283981323,False,False
topic-1302,industrial/labour relations,employment relations,mas_langgraph,Organizational Studies,Industrial sociology,"[""Industrial sociology"", ""Employee-management relations"", ""Organizational behavior"", ""Human resource management""]",False,0.30000000000000004,0.4867038130760193,False,False
topic-1305,working conditions creation,quality of worklife,mas_langgraph,Industrial Organizational Psychology,Workplace ergonomics design,"[""Workplace ergonomics design"", ""Workplace environment development"", ""Physical workspace configuration"", ""Facility setup creation"", ""Office space planning""]",False,0.30434782608695654,0.3426675796508789,False,False
topic-1306,labour issues,employment issues,mas_langgraph,Sociology,Employment concerns,"[""Employment concerns"", ""Occupational tensions"", ""Organizational conflicts"", ""Class struggles"", ""Social inequalities""]",False,0.7222222222222221,0.839414656162262,False,False
topic-4081,arbitration,dispute arbitration,mas_langgraph,Law,Dispute resolution,"[""Dispute resolution"", ""Negotiation"", ""Settlement"", ""Mediation""]",False,0.7027027027027026,0.7181524038314819,False,False
topic-3937,reasoning,logical argumentation,mas_langgraph,Cognitive Psychology,Inference,"[""Inference"", ""Logical analysis"", ""Critical thinking""]",False,0.2666666666666667,0.5838099718093872,False,False
topic-5627,aristoteles,Aristotle,mas_langgraph,Philosophy,Theophrastus,"[""Theophrastus"", ""Stagirite""]",False,0.2857142857142857,0.35556191205978394,False,False
topic-2517,poverty,destitution,mas_langgraph,Economics/Social Sciences,Destitution,"[""Destitution"", ""Indigence"", ""Impoverishment""]",True,1.0,1.0000001192092896,True,True
topic-2519,asylum seekers,refugees,mas_langgraph,Social Work or Sociology,Refugees,"[""Refugees"", ""Forced migrants"", ""Displaced persons""]",True,1.0,1.0000001192092896,True,True
