topic,term,ground_truths,prediction,candidates,exact_match,top_3,top_5,top_8,top_8_fuzzy,mrr,mrr_fuzzy
topic-12722,recommender system,"[""recommendation engine""]",Personalized recommendation engine,"[""Personalized recommendation engine"", ""Collaborative filtering model"", ""Rating-based recommender"", ""Knowledge graph-based system"", ""Inference-driven recommender"", ""User profiling system"", ""Content-based filtering algorithm"", ""Hybrid content-based approach""]",False,False,False,False,True,0.0,1.0
topic-2484,stocks,"[""shares""]",Equities,"[""Equities"", ""Investments"", ""Shares"", ""Securities"", ""Portfolio"", ""Assets"", ""Capital"", ""Funds""]",False,True,True,True,True,0.3333333333333333,0.3333333333333333
topic-4285,equity market,"[""stock market""]",Stock exchange,"[""Stock exchange"", ""Capital markets"", ""Financial bourse"", ""Securities market"", ""Share market""]",False,False,False,False,False,0.0,0.0
topic-3721,liability law,"[""responsibility law""]",Tort law,"[""Tort law"", ""Civil liability"", ""Product responsibility"", ""Risk management"", ""Insurance coverage"", ""Negligence doctrine"", ""Contractual obligation"", ""Corporate accountability""]",False,False,False,False,True,0.0,0.3333333333333333
topic-1274,accountancy,"[""financial auditing""]",Auditing,"[""Auditing"", ""Accounting Practice"", ""Bookkeeping"", ""Financial Management"", ""Financial Analysis"", ""Comptroller's Office"", ""Taxation Services"", ""Financial Reporting""]",False,False,False,False,True,0.0,1.0
topic-5882,auditors,"[""financial examiners""]",Inspectors,"[""Inspectors"", ""Accountants"", ""Reviewers"", ""Examiners"", ""Evaluators"", ""Assessors"", ""Auditing officers"", ""Financial examiners""]",False,False,False,True,True,0.125,0.25
topic-1276,accounting,"[""financial accounting""]",Bookkeeping,"[""Bookkeeping"", ""Accountancy"", ""Financial management"", ""Cost accounting"", ""Auditing"", ""Taxation"", ""Financial analysis"", ""Ledger maintenance""]",False,False,False,False,True,0.0,0.25
topic-1953,acculturation,"[""cultural adaptation""]",Cultural assimilation,"[""Cultural assimilation"", ""Social integration"", ""Ethnic adaptation"", ""Immigration adjustment"", ""Cross-cultural exchange"", ""Sociocultural change"", ""Biculturalization""]",False,False,False,False,False,0.0,0.0
topic-1919,actual pastoral liturgical practice,"[""current liturgical practice""]",Traditional worship,"[""Traditional worship"", ""Liturgical rites"", ""Pastoral discipline"", ""Ecclesiastical tradition"", ""Ceremonial practice"", ""Sacramental observance"", ""Religious ritual""]",False,False,False,False,False,0.0,0.0
topic-1980,adhd,"[""attention deficit disorder""]",Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Attention Deficit Hyperactivity Syndrome"", ""Hyperkinetic Disorder of Childhood"", ""Childhood Attention Deficit Hyperactivity Disorder"", ""Disordered Attention and Hyperactivity""]",False,False,False,False,True,0.0,1.0
topic-4079,administrative law,"[""regulatory law""]",Regulatory law,"[""Regulatory law"", ""Public policy law"", ""Governmental regulation"", ""Statutory law"", ""Administrative governance"", ""Public administration"", ""Bureaucratic law""]",True,True,True,True,True,1.0,1.0
topic-2276,adorno,"[""critical theorist""]",,[],False,False,False,False,False,0.0,0.0
topic-2250,africa,"[""Sub-Saharan region""]",Afroasia,"[""Afroasia"", ""African continent"", ""Sub-Saharan Africa"", ""Black Africa"", ""Sahel region"", ""Negroland""]",False,False,False,False,False,0.0,0.0
topic-1280,agricultural economy,"[""agricultural economics""]",Rural economy,"[""Rural economy"", ""Agricultural sector"", ""Land-use economics"", ""Food production system"", ""Countryside enterprise"", ""Agro-industry complex""]",False,False,False,False,False,0.0,0.0
topic-7782,aggression,"[""hostility""]",Hostility,"[""Hostility"", ""Aggressive behavior"", ""Conflict"", ""Belligerence"", ""Combativeness"", ""Rancor"", ""Vindictiveness"", ""Malice""]",True,True,True,True,True,1.0,1.0
topic-5124,alcohol addiction,"[""alcohol dependence""]",Substance dependence,"[""Substance dependence"", ""Alcoholic disorder"", ""Intoxication disorder"", ""Binge drinking syndrome"", ""Heavy drinking problem"", ""Cocaine dependency"", ""Methamphetamine abuse"", ""Chronic intoxication"", ""Substance use disorder"", ""Dependence on ethanol""]",False,False,False,False,False,0.0,0.0
topic-2500,general econometrics,"[""economic statistics""]",Applied Econometrics,"[""Applied Econometrics"", ""Econometric Theory"", ""Quantitative Methods"", ""Macroeconometrics"", ""Microeconometrics"", ""Regression Analysis""]",False,False,False,False,False,0.0,0.0
topic-2501,alliances and joint ventures,"[""strategic partnerships""]",Partnerships,"[""Partnerships"", ""Joint Ventures"", ""Strategic Collaborations"", ""Business Associations"", ""Cooperative Arrangements"", ""Corporate Alliances"", ""Consortiums""]",False,False,False,False,True,0.0,1.0
topic-1285,foreigners,"[""strangers""]",Strangers,"[""Strangers"", ""Immigrants"", ""Exiles"", ""Aliens"", ""Non-natives"", ""Outsiders"", ""Expatriates""]",True,True,True,True,True,1.0,1.0
topic-10501,americanization,"[""Americanisation""]",Globalization,"[""Globalization"", ""Westernization"", ""American influence"", ""Marketization"", ""Commercialization""]",False,False,False,False,False,0.0,0.0
topic-9362,anxiety,"[""worry""]",Apprehension,"[""Apprehension"", ""Fearfulness"", ""Nervousness"", ""Trepidation"", ""Distress"", ""Worry"", ""Panic"", ""Jitters""]",False,False,False,True,True,0.16666666666666666,0.16666666666666666
topic-16802,"Antarctic, Arctic, Polar Regions","[""polar areas""]",Ice caps,"[""Ice caps"", ""Glacial zones"", ""Cryospheric regions"", ""Arctic Circle"", ""Antarctic Circle"", ""Polar extremities""]",False,False,False,False,False,0.0,0.0
topic-1290,"anthropology and philosophy of religion, relation","[""relationship between anthropology and religious philosophy""]",Religious Studies,"[""Religious Studies"", ""Philosophy of Religion"", ""Study of Religions"", ""Theology and Anthropology"", ""Comparative Religion"", ""Anthropological Theology"", ""Interdisciplinary Study""]",False,False,False,False,False,0.0,0.0
topic-1291,arabic,"[""Arabian""]",Crescent,"[""Crescent"", ""Middle Eastern"", ""Semitic"", ""Islamic"", ""Orientalist"", ""Turkish"", ""Persian"", ""Hebrew""]",False,False,False,False,False,0.0,0.0
