topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,fuzzy_similarity,semantic_similarity,mrr
topic-12722,recommender system,recommendation engine,mas_v3_safe_hybrid_llama3.2_3b_limit_100,recommendation engine,"[""recommendation engine"", ""Collaborative Filtering Model"", ""Content Recommendation Algorithm"", ""Personalization System"", ""Information Filtering System""]",5,2.937941789627075,True,True,True,True,1.0,0.9999997615814209,1.0
topic-2484,stocks,shares,mas_v3_safe_hybrid_llama3.2_3b_limit_100,stock market,"[""stock market"", ""shares"", ""Securities"", ""investing"", ""Investments""]",5,2.0741779804229736,False,True,True,True,1.0,1.0,0.5
topic-4285,equity market,stock market,mas_v3_safe_hybrid_llama3.2_3b_limit_100,stock market,"[""stock market"", ""share market"", ""capital market"", ""publicly traded market"", ""stock exchange""]",5,1.7700157165527344,True,True,True,True,1.0,1.000000238418579,1.0
topic-3721,liability law,responsibility law,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Civil Liability,"[""Civil Liability"", ""Negligence Law"", ""responsibility law"", ""asset liability management"", ""financial law""]",5,3.1631524562835693,False,True,True,True,1.0,1.0000001192092896,0.3333333333333333
topic-1274,accountancy,financial auditing,mas_v3_safe_hybrid_llama3.2_3b_limit_100,accounting,"[""accounting"", ""financial accounting"", ""Bookkeeping"", ""Financial Management"", ""financial systems""]",5,2.5444447994232178,False,False,False,False,0.8421052631578947,0.7599382400512695,0.0
topic-5882,auditors,financial examiners,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Inspectors,"[""Inspectors"", ""Examiners"", ""financial examiners"", ""financial auditing"", ""accounting""]",5,1.8939790725708008,False,True,True,True,1.0,1.0,0.3333333333333333
topic-1276,accounting,financial accounting,mas_v3_safe_hybrid_llama3.2_3b_limit_100,financial accounting,"[""financial accounting"", ""accountancy"", ""Financial Management"", ""financial auditing"", ""Bookkeeping""]",5,2.7888054847717285,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1953,acculturation,cultural adaptation,mas_v3_safe_hybrid_llama3.2_3b_limit_100,inculturation,"[""inculturation"", ""assimilation"", ""acculturative process"", ""destitution"", ""cultural integration""]",5,1.5194144248962402,False,False,False,False,0.7692307692307692,0.6916220188140869,0.0
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_v3_safe_hybrid_llama3.2_3b_limit_100,liturgical pastoralism,"[""liturgical pastoralism"", ""pastoral sacramental practice"", ""practical pastoral theology"", ""current liturgical practice"", ""pastoral ecclesiology""]",5,2.6051690578460693,False,True,False,True,1.0,1.0000001192092896,0.25
topic-1980,adhd,attention deficit disorder,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""attention deficit disorder"", ""Hyperkinetic Disorder"", ""Disruptive Behavior Disorder"", ""anxiety""]",5,3.1129519939422607,False,True,True,True,1.0,1.0000001192092896,0.5
topic-4079,administrative law,regulatory law,mas_v3_safe_hybrid_llama3.2_3b_limit_100,administrative procedural law,"[""administrative procedural law"", ""administrative litigation"", ""public administration"", ""Governmental Law"", ""administrative organisation""]",5,2.452441930770874,False,False,False,False,0.4666666666666666,0.5993784666061401,0.0
topic-2276,adorno,critical theorist,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Aristotle,"[""Aristotle"", ""Marxist"", ""aristoteles"", ""adhd"", ""Philosopher""]",5,1.6592211723327637,False,False,False,False,0.4285714285714286,0.4844173491001129,0.0
topic-2250,africa,Sub-Saharan region,mas_v3_safe_hybrid_llama3.2_3b_limit_100,African continent,"[""African continent"", ""Black Africa"", ""Sub-Saharan Africa"", ""Africana"", ""Saharan region""]",5,1.2589709758758545,False,False,False,False,0.875,0.9500777721405029,0.0
topic-1280,agricultural economy,agricultural economics,mas_v3_safe_hybrid_llama3.2_3b_limit_100,agricultural economics,"[""agricultural economics"", ""farm-based economy"", ""rural economy"", ""agronomic economy"", ""agro-industry""]",5,2.201876401901245,True,True,True,True,1.0,1.000000238418579,1.0
topic-7782,aggression,hostility,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Aggressiveness,"[""Aggressiveness"", ""hostility"", ""Dominance"", ""mediation"", ""Assertiveness""]",5,5.867132186889648,False,True,True,True,1.0,0.9999997615814209,0.5
topic-5124,alcohol addiction,alcohol dependence,mas_v3_safe_hybrid_llama3.2_3b_limit_100,alcohol dependence,"[""alcohol dependence"", ""alcoholic disorder"", ""alcoholism"", ""substance use disorder"", ""intoxication disorder""]",5,2.1607728004455566,True,True,True,True,1.0,1.000000238418579,1.0
topic-2500,general econometrics,economic statistics,mas_v3_safe_hybrid_llama3.2_3b_limit_100,Econometric Theory,"[""Econometric Theory"", ""Applied Econometrics"", ""economic statistics"", ""Economic Modeling"", ""Quantitative Economics""]",5,2.0113630294799805,False,True,True,True,1.0,1.0,0.3333333333333333
topic-2501,alliances and joint ventures,strategic partnerships,mas_v3_safe_hybrid_llama3.2_3b_limit_100,strategic partnerships,"[""strategic partnerships"", ""Joint Organizations"", ""Cooperative Ventures"", ""Partnerships"", ""Collaborations""]",5,2.7305588722229004,True,True,True,True,1.0,0.9999998807907104,1.0
