topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,fuzzy_similarity,semantic_similarity,mrr
topic-12722,recommender system,recommendation engine,mas_langgraph_llama3.2_3b_limit_100,Recommendation engine,"[""Recommendation engine"", ""Content recommendation algorithm"", ""Collaborative filtering model"", ""Content suggestion system"", ""Personalization engine""]",5,0.8959958553314209,True,True,True,True,1.0,0.9999997615814209,1.0
topic-2484,stocks,shares,mas_langgraph_llama3.2_3b_limit_100,stock market,"[""stock market"", ""Shares"", ""Securities"", ""Investments"", ""investing""]",5,0.7595610618591309,False,True,True,True,1.0,1.0,0.5
topic-4285,equity market,stock market,mas_langgraph_llama3.2_3b_limit_100,stock market,"[""stock market"", ""share market"", ""capital market"", ""financial market"", ""capital asset market""]",5,0.7733175754547119,True,True,True,True,1.0,1.000000238418579,1.0
topic-3721,liability law,responsibility law,mas_langgraph_llama3.2_3b_limit_100,Civil Liability,"[""Civil Liability"", ""Responsibility Law"", ""Negligence Law"", ""asset liability management"", ""financial law""]",5,0.838397741317749,False,True,True,True,1.0,1.0000001192092896,0.5
topic-1274,accountancy,financial auditing,mas_langgraph_llama3.2_3b_limit_100,Accounting,"[""Accounting"", ""financial accounting"", ""Financial Management"", ""Financial Analysis"", ""financial systems""]",5,0.7692654132843018,False,False,False,False,0.8421052631578947,0.7599382400512695,0.0
topic-5882,auditors,financial examiners,mas_langgraph_llama3.2_3b_limit_100,Examiners,"[""Examiners"", ""Inspectors"", ""financial auditing"", ""financial examiners"", ""accounting""]",5,0.8147547245025635,False,True,False,True,1.0,1.0,0.25
topic-1276,accounting,financial accounting,mas_langgraph_llama3.2_3b_limit_100,financial accounting,"[""financial accounting"", ""accountancy"", ""financial auditing"", ""auditing"", ""financial reporting""]",5,0.768364667892456,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1953,acculturation,cultural adaptation,mas_langgraph_llama3.2_3b_limit_100,inculturation,"[""inculturation"", ""acculturative process"", ""assimilation"", ""ethnic assimilation"", ""cultural adaptation""]",5,0.8442456722259521,False,True,False,True,1.0,1.0,0.2
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_langgraph_llama3.2_3b_limit_100,current liturgical practice,"[""current liturgical practice"", ""liturgical implementation"", ""practical pastoral application"", ""pastoral action"", ""ritualistic practice""]",5,0.9456806182861328,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1980,adhd,attention deficit disorder,mas_langgraph_llama3.2_3b_limit_100,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Attention Deficit Disorder"", ""Hyperkinetic Disorder"", ""Disruptive Behavior Disorder"", ""Sensory Processing Disorder""]",5,0.969374418258667,False,True,True,True,1.0,1.0000001192092896,0.5
topic-4079,administrative law,regulatory law,mas_langgraph_llama3.2_3b_limit_100,administrative procedural law,"[""administrative procedural law"", ""administrative litigation"", ""administrative organisation"", ""Bureaucratic Law"", ""administrative reform""]",5,0.8914284706115723,False,False,False,False,0.6,0.49325504899024963,0.0
topic-2276,adorno,critical theorist,mas_langgraph_llama3.2_3b_limit_100,adhd,"[""adhd"", ""aristoteles"", ""Hegelian"", ""Aristotle"", ""brabant""]",5,0.8951103687286377,False,False,False,False,0.4285714285714286,0.29047471284866333,0.0
topic-2250,africa,Sub-Saharan region,mas_langgraph_llama3.2_3b_limit_100,Black Africa,"[""Black Africa"", ""Africana"", ""African continent"", ""Sub-Saharan Africa"", ""Afro-Asia""]",5,0.8982720375061035,False,False,False,False,0.7777777777777779,0.9067846536636353,0.0
topic-1280,agricultural economy,agricultural economics,mas_langgraph_llama3.2_3b_limit_100,agricultural economics,"[""agricultural economics"", ""farm-based economy"", ""rural economy"", ""peasant economy"", ""subsistence economy""]",5,0.863795280456543,True,True,True,True,1.0,1.000000238418579,1.0
topic-7782,aggression,hostility,mas_langgraph_llama3.2_3b_limit_100,aggressiveness,"[""aggressiveness"", ""hostility"", ""intimidation"", ""provocation"", ""dominance""]",5,0.8026573657989502,False,True,True,True,1.0,0.9999997615814209,0.5
topic-5124,alcohol addiction,alcohol dependence,mas_langgraph_llama3.2_3b_limit_100,alcohol dependence,"[""alcohol dependence"", ""alcoholic disorder"", ""alcoholism"", ""alcohol-related disorder"", ""ethanol abuse""]",5,0.8887956142425537,True,True,True,True,1.0,1.000000238418579,1.0
topic-2500,general econometrics,economic statistics,mas_langgraph_llama3.2_3b_limit_100,Applied Econometrics,"[""Applied Econometrics"", ""Econometric Theory"", ""economic statistics"", ""Macroeconometrics"", ""managerial economics""]",5,0.9498100280761719,False,True,True,True,1.0,1.0,0.3333333333333333
topic-2501,alliances and joint ventures,strategic partnerships,mas_langgraph_llama3.2_3b_limit_100,Cooperative Ventures,"[""Cooperative Ventures"", ""Joint Organizations"", ""Strategic Partnerships"", ""Partnerships"", ""financial partnerships""]",5,0.8864831924438477,False,True,True,True,1.0,0.9999998807907104,0.3333333333333333
topic-1285,foreigners,strangers,mas_langgraph_llama3.2_3b_limit_100,immigrants,"[""immigrants"", ""international persons"", ""refugees"", ""expatriates"", ""non-citizens""]",5,0.7905125617980957,False,False,False,False,0.5,0.37881678342819214,0.0
