en,en_synonym
liability law,responsibility law
accountancy,financial auditing
acculturation,cultural adaptation
actual pastoral liturgical practice,current liturgical practice
administrative law,regulatory law
adorno,critical theorist
agricultural economy,agricultural economics
aggression,hostility
alcohol addiction,alcohol dependence
foreigners,strangers
"Antarctic, Arctic, Polar Regions",polar areas
labour and health,occupational health
industrial and organisational psychology,work psychology
working hours,working time
labour market,employment market
labour market issues,employment issues
working conditions,employment conditions
work participation,employment participation
labour law,employment law
industrial/labour relations,employment relations
working conditions creation,quality of worklife
arbitration,dispute arbitration
attitudes,mindset
augustine,St. Augustine
automatic language analysis,computational linguistics
automation,mechanization
autonomy and moral,self-governance and ethics
bank - firm relationships,financial partnerships
banking law,financial law
banking systems,financial systems
primary education,elementary education
bayesian statistics,Bayesian inference
corporate policy and strategy,business strategy
business communication and ethics,corporate communication ethics
business modelling,business analytics
business economics,managerial economics
business ethics,corporate ethics
companies,businesses
bounded rationality,limited rationality
taxes,levies
tax law,fiscal law
investor behaviour,Investor psychology
mutual fund,investment fund
policy evaluation,policy analysis
mediation,conflict resolution
Occupational ethics for ministers,ministerial ethics
occupational diseases,work-related illnesses
protected species,endangered species
decision theory,decision analysis
decision support systems,decision aid systems
information management and technology,information systems management
administrative reform,bureaucratic reform
management of non-profit organisations,non-profit management
public administration,administrative organisation
bible (studies),biblical studies
bible as literature,scriptural literature
Bible and culture,scriptural influence on culture
bible translations,scripture translations
bible studies; exegesis,Bible interpretation
biodiversity,natural diversity
urban planning and building law,city planning regulations
civil law,non-criminal law
Citizens Participation,public involvement
burnout,exhaustion
central banks,monetary authority
China,People's Republic of China
surgery,surgical procedure
Christian creed,Christian statement of belief
christian liturgy,Christian worship
Christianity and Culture,Christian cultural studies
chronic heart failure,persistent heart failure
chronic diseases,long-term illnesses
cognition,mental processes
cognitive processes,mental processes
cognitive science,cognitive studies
work-family confict,work-life conflict
communication skills,interpersonal skills
communitarianism,Community-based philosophy
Competence development,Capability development
competition,rivalry
computational semantics,machine semantics
computer linguistics,computational linguistics
computer systems,computing systems
conflicts,disputes
constitutional law,fundamental law
constitutional law history,history of constitutional law
consumer behaviour,buying behavior
cooperative information systems,collaborative information systems
cooperative game theory,collaborative game theory
coping,stress management
criminology,criminal science
cross-cultural research,intercultural research
cross-cultural psychology,intercultural psychology
cultural heritage,cultural legacy
cultural diversity,cultural variety
culture and internationalisation,global culture
cultural and country differences,cross-cultural differences
philosophy of culture,cultural philosophy
cultural psychology,cross-cultural psychology
cultureral differences,cultural diversity
data mining,data analysis
decentralization,devolution
deconstruction,critical analysis
dementia,cognitive decline
third world,developing countries
Diabetic disease,blood sugar disorder
dialect and society,Regional language and society
service industry,service sector
digital library,electronic library
digital culture,cyber culture
diversity in organisations,organizational inclusivity
diversity management,inclusion management
dividend policy,profit distribution strategy
dogmatic theology,doctrinal theology
drugs addiction,substance dependence
german,Teutonic
e-business,online business
economics of regulation,regulatory economics
general economics,economic theory
history of economic thought,economic history
economic geography,spatial economics
economic growth,economic development
psychology of economic behaviour,behavioral economics
economic situation,economic condition
securities law,financial regulation
electromyography,muscle electrical recording
EMG,electromyogram
emotional exhaustion,burnout
empirical macroeconomics,data-driven macroeconomics
Empirical legal studies,Empirical jurisprudence
energy problems,energy challenges
law of succession,inheritance law
ethics,moral philosophy
ethnic groups,cultural communities
ethnic minority groups and culture,minority cultures
Ethnographic research,ethnographics
European Public Procurement Law,EU procurement regulations
European Private Law,EU private law
european law,EU legislation
european social security law,European welfare law
european monetary union,eurozone
european politics,EU politics
evs,European Values Study
exegesis,interpretation
experimental economics,behavioral economics
expert systems,knowledge systems
external reporting,external disclosure
family law,domestic relations law
feminist theology,gender theology
film studies,cinema studies
philosophy,wisdom
philosophic and christian philosophy of life,Christian worldview philosophy
philosophy of cognitive psychology,cognitive psychology theory
philosophy of economy,economic philosophy
philosophy of mind,mental philosophy
philosophy of ~the state,political theory
Financial reporting,financial statements
financial intermediation,financial brokerage
financial analysis,financial evaluation
financial crisis,economic meltdown
financial markets,capital markets
capital structure,financial composition
financial mathematics,quantitative finance
flexicurity,flexible security
phonology,sound system study
forensic psychology,criminal psychology
mergers and acquisitions,corporate consolidation
"mergers, acquisitions and protection",corporate consolidation
physiology,biological functions
birth,childbirth
behaviour influence,behavior modification
behavioral economics,Behavioral finance
mental health care,psychological care
spiritual counseling / pastoral work / soul care,spiritual guidance
facial expressions,facial cues
literacy,reading and writing skills
history,historical study
history Persian period,Achaemenid history
history of reformation,Reformation history
History of Christianity,Christian history
history of church and theology,ecclesiastical history
Communication Skills,interpersonal skills
sociology of the family,family sociology
health,well-being
health law,medical law
