topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy,mrr
topic-12722,recommender system,recommendation engine,llm_llama3.2_3b_limit_100,Personalization engine,"[""Personalization engine"", ""Content recommendation algorithm"", ""Rating-based suggestion system"", ""Collaborative filtering model"", ""Information filtering framework""]",5,4.074954986572266,False,False,0.6976744186046511,0.7376992702484131,False,False,0.0
topic-2484,stocks,shares,llm_llama3.2_3b_limit_100,shares,"[""shares"", ""equities"", ""securities"", ""investments"", ""holdings""]",5,0.5567169189453125,True,True,1.0,1.0,True,True,1.0
topic-4285,equity market,stock market,llm_llama3.2_3b_limit_100,Stock Market,"[""Stock Market"", ""Capital Market"", ""Financial Market"", ""Securities Market"", ""Bullion Market""]",5,0.5954596996307373,True,True,1.0,1.000000238418579,True,True,1.0
topic-3721,liability law,responsibility law,llm_llama3.2_3b_limit_100,Tort Law,"[""Tort Law"", ""Regulatory Compliance"", ""Risk Management"", ""Accountability Law"", ""Duty of Care""]",5,0.605689525604248,False,False,0.6666666666666667,0.7513754367828369,False,False,0.0
topic-1274,accountancy,financial auditing,llm_llama3.2_3b_limit_100,Accounting,"[""Accounting"", ""Auditing"", ""Financial Management"", ""Bookkeeping"", ""Financial Reporting""]",5,0.5848476886749268,False,False,0.7567567567567568,0.849439799785614,False,False,0.0
topic-5882,auditors,financial examiners,llm_llama3.2_3b_limit_100,Inspectors,"[""Inspectors"", ""Examiners"", ""Reviewers"", ""Evaluators"", ""Accountants""]",5,0.5778460502624512,False,False,0.6428571428571428,0.7280333638191223,False,False,0.0
topic-1276,accounting,financial accounting,llm_llama3.2_3b_limit_100,Bookkeeping,"[""Bookkeeping"", ""Financial Management"", ""Auditing"", ""Accountancy"", ""Financial Reporting""]",5,0.5454347133636475,False,False,0.7692307692307692,0.7837228775024414,False,False,0.0
topic-1953,acculturation,cultural adaptation,llm_llama3.2_3b_limit_100,Assimilation,"[""Assimilation"", ""Cultural Integration"", ""Socialization"", ""Accommodation"", ""Adaptation""]",5,0.5946342945098877,False,False,0.7692307692307692,0.7390458583831787,False,False,0.0
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_llama3.2_3b_limit_100,practical pastoral ministry,"[""practical pastoral ministry"", ""day-to-day church service"", ""liturgical routine"", ""pastoral discipline"", ""ordinary worship""]",5,0.6347534656524658,False,False,0.6666666666666667,0.8779455423355103,False,False,0.0
topic-1980,adhd,attention deficit disorder,llm_llama3.2_3b_limit_100,Attention Deficit Disorder,"[""Attention Deficit Disorder"", ""Hyperactivity Disorder"", ""Disruptive Behavior Disorder"", ""Executive Function Deficit"", ""Neurodevelopmental Disorder""]",5,0.6835117340087891,True,True,1.0,1.0000001192092896,True,True,1.0
