topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,fuzzy_similarity,semantic_similarity,mrr
topic-12722,recommender system,recommendation engine,mas_v2_llm_ranker_llama3.2_3b_limit_100,Personalization System,"[""Personalization System"", ""Content Recommendation Algorithm"", ""Rating-Based System"", ""Collaborative Filtering Model"", ""recommendation engine""]",5,3.521094799041748,False,True,False,True,1.0,1.000000238418579,0.2
topic-2484,stocks,shares,mas_v2_llm_ranker_llama3.2_3b_limit_100,Equities,"[""Equities"", ""Securities"", ""shares"", ""equity market"", ""Capital Assets""]",5,1.9107584953308105,False,True,True,True,1.0,1.0,0.3333333333333333
topic-4285,equity market,stock market,mas_v2_llm_ranker_llama3.2_3b_limit_100,stock market,"[""stock market"", ""shares"", ""investment"", ""capital market"", ""share market""]",5,4.0583109855651855,True,True,True,True,1.0,1.000000238418579,1.0
topic-3721,liability law,responsibility law,mas_v2_llm_ranker_llama3.2_3b_limit_100,civil litigation law,"[""civil litigation law"", ""Negligence Law"", ""Fault-Based Insurance"", ""Personal Responsibility"", ""Tort Law""]",5,4.894468784332275,False,False,False,False,0.6829268292682926,0.759191632270813,0.0
topic-1274,accountancy,financial auditing,mas_v2_llm_ranker_llama3.2_3b_limit_100,accounting,"[""accounting"", ""auditors"", ""financial accounting"", ""Bookkeeping"", ""Auditing""]",5,2.4509658813476562,False,False,False,False,0.8421052631578947,0.8494398593902588,0.0
topic-5882,auditors,financial examiners,mas_v2_llm_ranker_llama3.2_3b_limit_100,Inspectors,"[""Inspectors"", ""Examiners"", ""Reviewers"", ""Evaluators"", ""Accountability Specialists""]",5,2.953524112701416,False,False,False,False,0.6428571428571428,0.7280333638191223,0.0
topic-1276,accounting,financial accounting,mas_v2_llm_ranker_llama3.2_3b_limit_100,financial accounting,"[""financial accounting"", ""Auditing"", ""Bookkeeping"", ""asset liability management"", ""balance sheet management""]",5,2.7076337337493896,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1953,acculturation,cultural adaptation,mas_v2_llm_ranker_llama3.2_3b_limit_100,cultural adaptation,"[""cultural adaptation"", ""assimilation"", ""cultural integration"", ""inculturation"", ""acculturative process""]",5,4.132553339004517,True,True,True,True,1.0,1.0,1.0
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_v2_llm_ranker_llama3.2_3b_limit_100,pastoral sacramental practice,"[""pastoral sacramental practice"", ""practical pastoral theology"", ""liturgical pastoralism"", ""pastoral ecclesiology"", ""current liturgical practice""]",5,4.004270076751709,False,True,False,True,1.0,1.0000001192092896,0.2
topic-1980,adhd,attention deficit disorder,mas_v2_llm_ranker_llama3.2_3b_limit_100,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Executive Function Deficit"", ""Hyperkinetic Disorder"", ""attention deficit disorder"", ""Disruptive Behavior Disorder""]",5,3.1871092319488525,False,True,False,True,1.0,1.0000001192092896,0.25
topic-4079,administrative law,regulatory law,mas_v2_llm_ranker_llama3.2_3b_limit_100,public administration,"[""public administration"", ""regulatory law"", ""Statutory Law"", ""fiscal law"", ""Governmental Law""]",5,3.1065680980682373,False,True,True,True,1.0,1.0,0.5
topic-2276,adorno,critical theorist,mas_v2_llm_ranker_llama3.2_3b_limit_100,Aristotle,"[""Aristotle"", ""literary philosopher"", ""Philosopher"", ""Theorist"", ""Critic""]",5,4.156867504119873,False,False,False,False,0.64,0.7144043445587158,0.0
topic-2250,africa,Sub-Saharan region,mas_v2_llm_ranker_llama3.2_3b_limit_100,Sub-Saharan Africa,"[""Sub-Saharan Africa"", ""African continent"", ""Black Africa"", ""Sub-Saharan region"", ""Saharan region""]",5,2.174988269805908,False,True,False,True,1.0,1.0,0.25
