topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,recall_at_3,recall_at_5,precision_at_5,mrr,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy
topic-12722,recommender system,recommendation engine,same_term,recommender system,"[""recommender system""]",1,2.6226043701171875e-06,False,False,False,False,0.0,0.0,0.5641025641025641,0.8017131090164185,False,False
topic-12722,recommender system,recommendation engine,wordnet_direct,,[],0,1.2199008464813232,False,False,False,False,0.0,0.0,0.0,0.1102341786026954,False,False
topic-12722,recommender system,recommendation engine,embedding_wordnet,recommendation,"[""recommendation"", ""suggester"", ""bookmarker"", ""rating system"", ""sorter""]",5,0.0380995273590087,False,False,False,False,0.0,0.0,0.8,0.6795047521591187,False,False
topic-12722,recommender system,recommendation engine,llm_zero_shot,Personalization engine,"[""Personalization engine"", ""Content recommendation algorithm"", ""Rating-based suggestion system"", ""Collaborative filtering model"", ""Information filtering framework""]",5,4.836748600006104,False,False,False,False,0.0,0.0,0.6976744186046511,0.7376992702484131,False,False
topic-12722,recommender system,recommendation engine,llm_expansion,profiling,"[""profiling"", ""personalized"", ""retrieval"", ""rating"", ""rating system""]",5,0.8670377731323242,False,False,False,False,0.0,0.0,0.4444444444444444,0.4535518884658813,False,False
topic-12722,recommender system,recommendation engine,llm_rerank,Recommendation engine,"[""Recommendation engine"", ""Collaborative filtering model"", ""Content recommendation algorithm"", ""Rating-based recommendation model"", ""Knowledge graph-based recommender""]",5,1.044966220855713,True,True,True,True,0.2,1.0,1.0,1.000000238418579,True,True
topic-12722,recommender system,recommendation engine,hybrid_fusion,Recommendation Engine,"[""Recommendation Engine"", ""Rating-Based Recommender"", ""Collaborative filtering system"", ""Preference-based recommender"", ""Collaborative Filtering Algorithm""]",5,3.3156518936157227,True,True,True,True,0.2,1.0,1.0,1.000000238418579,True,True
topic-12722,recommender system,recommendation engine,mas_base,Recommendation Engine,"[""Recommendation Engine"", ""Collaborative Filtering System"", ""Content Recommendation Algorithm"", ""recommendation"", ""Personalization System""]",5,1.0977075099945068,True,True,True,True,0.2,1.0,1.0,0.9999997615814208,True,True
topic-12722,recommender system,recommendation engine,mas_llm_ranker,recommendation,"[""recommendation"", ""collaborative"", ""personalized"", ""rating system"", ""recommend""]",5,5.962643384933472,False,False,False,False,0.0,0.0,0.8,0.6795047521591187,False,False
topic-12722,recommender system,recommendation engine,mas_safe_hybrid,Recommendation Engine,"[""Recommendation Engine"", ""recommendation"", ""Collaborative Filtering Model"", ""Content Recommendation Algorithm"", ""suggester""]",5,4.646378040313721,True,True,True,True,0.2,1.0,1.0,0.9999997615814208,True,True
topic-2484,stocks,shares,same_term,stocks,"[""stocks""]",1,2.86102294921875e-06,False,False,False,False,0.0,0.0,0.3333333333333333,0.6918751001358032,False,False
topic-2484,stocks,shares,wordnet_direct,stock,"[""stock"", ""inventory"", ""gunstock"", ""stock certificate"", ""store"", ""fund"", ""lineage"", ""line"", ""line of descent"", ""descent"", ""bloodline"", ""blood line"", ""blood"", ""pedigree"", ""ancestry"", ""origin"", ""parentage"", ""stemma"", ""breed"", ""strain"", ""broth"", ""caudex"", ""gillyflower"", ""Malcolm stock"", ""neckcloth"", ""livestock"", ""farm animal"", ""carry"", ""stockpile"", ""buy in"", ""stock up"", ""sprout""]",32,0.0563106536865234,False,False,False,False,0.0,0.0,0.5454545454545454,0.6828163266181946,False,False
topic-2484,stocks,shares,embedding_wordnet,stock,"[""stock"", ""stock market"", ""stock company"", ""capital stock"", ""stocking""]",5,0.0158953666687011,False,False,False,False,0.0,0.0,0.4444444444444444,0.6828161478042603,False,False
topic-2484,stocks,shares,llm_zero_shot,shares,"[""shares"", ""equities"", ""securities"", ""investments"", ""holdings""]",5,0.6080238819122314,True,True,True,True,0.2,1.0,1.0,1.0,True,True
topic-2484,stocks,shares,llm_expansion,investment,"[""investment"", ""investing"", ""investment funds"", ""investor"", ""invest""]",5,0.8000991344451904,False,False,False,False,0.0,0.0,0.3333333333333333,0.6195976734161377,False,False
topic-2484,stocks,shares,llm_rerank,Shares,"[""Shares"", ""Portfolio Holdings"", ""Securities"", ""Investments"", ""Capital Investments""]",5,0.8733944892883301,True,True,True,True,0.2,1.0,1.0,1.0,True,True
topic-2484,stocks,shares,hybrid_fusion,shares,"[""shares"", ""portfolio holdings"", ""securities"", ""investments"", ""Portfolio""]",5,2.494759082794189,True,True,True,True,0.2,1.0,1.0,1.0,True,True
topic-2484,stocks,shares,mas_base,stock,"[""stock"", ""stock market"", ""stocking"", ""stock issue"", ""stock company""]",5,0.8682448863983154,False,False,False,False,0.0,0.0,0.4444444444444444,0.6828161478042603,False,False
topic-2484,stocks,shares,mas_llm_ranker,Equities,"[""Equities"", ""Shares"", ""Securities"", ""Investments"", ""Capital Assets""]",5,2.8531506061553955,False,True,True,True,0.2,0.5,1.0,1.0,True,True
topic-2484,stocks,shares,mas_safe_hybrid,stock,"[""stock"", ""stock market"", ""stock company"", ""Shares"", ""capital stock""]",5,1.8915717601776123,False,True,False,True,0.2,0.25,1.0,1.0,False,True
topic-4285,equity market,stock market,same_term,equity market,"[""equity market""]",1,1.9073486328125e-06,False,False,False,False,0.0,0.0,0.64,0.8036891222000122,False,False
topic-4285,equity market,stock market,wordnet_direct,,[],0,2.6702880859375e-05,False,False,False,False,0.0,0.0,0.0,0.1546883285045623,False,False
topic-4285,equity market,stock market,embedding_wordnet,stock market,"[""stock market"", ""securities market"", ""equity"", ""market"", ""money market""]",5,0.0179946422576904,True,True,True,True,0.2,1.0,1.0,1.000000238418579,True,True
topic-4285,equity market,stock market,llm_zero_shot,Stock Market,"[""Stock Market"", ""Capital Market"", ""Financial Market"", ""Securities Market"", ""Bullion Market""]",5,0.6199936866760254,True,True,True,True,0.2,1.0,1.0,1.000000238418579,True,True
topic-4285,equity market,stock market,llm_expansion,stock exchange,"[""stock exchange"", ""market capitalization"", ""market capitalisation"", ""stock market"", ""american stock exchange""]",5,0.8438177108764648,False,True,False,True,0.2,0.25,1.0,1.000000238418579,False,True
topic-4285,equity market,stock market,llm_rerank,shares market,"[""shares market"", ""share market"", ""financial market"", ""capital market"", ""capital asset market""]",5,0.9076054096221924,False,False,False,False,0.0,0.0,0.6666666666666667,0.8024314045906067,False,False
topic-4285,equity market,stock market,hybrid_fusion,stock market,"[""stock market"", ""securities market"", ""Private Equity Market"", ""share market"", ""market for shares""]",5,2.7420976161956787,True,True,True,True,0.2,1.0,1.0,1.000000238418579,True,True
topic-4285,equity market,stock market,mas_base,securities market,"[""securities market"", ""stock market"", ""equity"", ""share market"", ""capital market""]",5,0.9365196228027344,False,True,True,True,0.2,0.5,1.0,1.000000238418579,True,True
topic-4285,equity market,stock market,mas_llm_ranker,stock exchange,"[""stock exchange"", ""stocks"", ""share market"", ""bourse"", ""capital market""]",5,4.096119403839111,False,False,False,False,0.0,0.0,0.6666666666666667,0.8091088533401489,False,False
topic-4285,equity market,stock market,mas_safe_hybrid,securities market,"[""securities market"", ""stock market"", ""share market"", ""equity"", ""stock exchange""]",5,3.3557732105255127,False,True,True,True,0.2,0.5,1.0,1.000000238418579,True,True
topic-3721,liability law,responsibility law,same_term,liability law,"[""liability law""]",1,1.9073486328125e-06,False,False,False,False,0.0,0.0,0.7096774193548387,0.681944727897644,False,False
topic-3721,liability law,responsibility law,wordnet_direct,,[],0,2.789497375488281e-05,False,False,False,False,0.0,0.0,0.0,0.1568988114595413,False,False
topic-3721,liability law,responsibility law,embedding_wordnet,liability,"[""liability"", ""liability insurance"", ""limited liability"", ""liable"", ""tax liability""]",5,0.0164711475372314,False,False,False,False,0.0,0.0,0.5185185185185186,0.6265771389007568,False,False
topic-3721,liability law,responsibility law,llm_zero_shot,Tort Law,"[""Tort Law"", ""Regulatory Compliance"", ""Risk Management"", ""Accountability Law"", ""Duty of Care""]",5,0.6516709327697754,False,False,False,False,0.0,0.0,0.6666666666666667,0.7513754367828369,False,False
topic-3721,liability law,responsibility law,llm_expansion,criminal negligence,"[""criminal negligence"", ""negligence"", ""liability"", ""accountability"", ""culpable negligence""]",5,0.8853240013122559,False,False,False,False,0.0,0.0,0.5185185185185186,0.6265770196914673,False,False
topic-3721,liability law,responsibility law,llm_rerank,Civil Liability,"[""Civil Liability"", ""Product Liability"", ""Negligence Law"", ""Personal Injury Law"", ""Compensation Law""]",5,0.9644019603729248,False,False,False,False,0.0,0.0,0.5945945945945945,0.6681857705116272,False,False
