term,ground_truth,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
recommender system,recommendation engine,recommendation engine,"[""recommendation engine"", ""collaborative networks"", ""collaborative systems"", ""collaborative information systems"", ""collaborative work""]",5,82.7863540649414,True,True,True,1.0,1.0,1.0,1
stocks,shares,investing,"[""investing"", ""shares"", ""investment funds"", ""investment fund"", ""capital markets""]",5,107.00708508491516,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
equity market,stock market,capital markets,"[""capital markets"", ""shares"", ""investing"", ""stock market"", ""investment funds""]",5,106.91819882392883,False,False,True,0.0,0.430676558073393,0.25,4
liability law,responsibility law,responsibility law,"[""responsibility law"", ""corporate law"", ""business law"", ""medical law"", ""contract law""]",5,54.51995372772217,True,True,True,1.0,1.0,1.0,1
accountancy,financial auditing,financial accounting,"[""financial accounting"", ""financial reporting"", ""financial management"", ""financial auditing"", ""financial systems""]",5,54.93031311035156,False,False,True,0.0,0.430676558073393,0.25,4
auditors,financial examiners,financial examiners,"[""financial examiners"", ""financial accounting"", ""financial auditing"", ""investigation"", ""financial instruments""]",5,106.15643501281738,True,True,True,1.0,1.0,1.0,1
accounting,financial accounting,financial reporting,"[""financial reporting"", ""financial management"", ""financial accounting"", ""financial auditing"", ""business finance""]",5,120.8287796974182,False,True,True,0.5,0.5,0.3333333333333333,3
acculturation,cultural adaptation,cultural adaptation,"[""cultural adaptation"", ""cultural diversity"", ""social unity"", ""social categorization"", ""cultural variety""]",5,102.06633281707764,True,True,True,1.0,1.0,1.0,1
actual pastoral liturgical practice,current liturgical practice,liturgical theology,"[""liturgical theology"", ""Catholic pastoral care"", ""Pastoral Counseling Psychology"", ""Christian worship"", ""sociology of pastoral care""]",5,121.20159029960632,False,False,False,0.0,0.0,0.0,-1
adhd,attention deficit disorder,attention deficit disorder,"[""attention deficit disorder"", ""psychological disorders"", ""cognitive decline"", ""seizure disorder"", ""neuropsychological therapy""]",5,121.46165084838869,True,True,True,1.0,1.0,1.0,1
administrative law,regulatory law,legal governance,"[""legal governance"", ""public policy"", ""regulatory law"", ""governance"", ""regulatory economics""]",5,107.14933276176453,False,True,True,0.5,0.5,0.3333333333333333,3
adorno,critical theorist,Marxism,"[""Marxism"", ""Marxist theory"", ""critical theorist"", ""critical analysis"", ""political theory""]",5,107.11496376991272,False,True,True,0.5,0.5,0.3333333333333333,3
africa,Sub-Saharan region,Sub-Saharan region,"[""Sub-Saharan region"", ""ethnic groups"", ""East Europe"", ""South African legal system"", ""Arabian""]",5,107.1497712135315,True,True,True,1.0,1.0,1.0,1
agricultural economy,agricultural economics,agricultural economics,"[""agricultural economics"", ""industrial economics"", ""economic development"", ""farming"", ""economic history""]",5,107.07612228393556,True,True,True,1.0,1.0,1.0,1
aggression,hostility,hostility,"[""hostility"", ""interpersonal psychology"", ""senseless violence"", ""Cooperation"", ""persuasion""]",5,107.3215787410736,True,True,True,1.0,1.0,1.0,1
alcohol addiction,alcohol dependence,alcohol dependence,"[""alcohol dependence"", ""substance abuse treatment"", ""substance dependence"", ""psychological disorders"", ""compulsive gambling""]",5,107.99686288833618,True,True,True,1.0,1.0,1.0,1
general econometrics,economic statistics,practical econometrics,"[""practical econometrics"", ""economic modeling"", ""economic science"", ""economic theory"", ""economic statistics""]",5,5.575363397598267,False,False,True,0.0,0.38685280723454163,0.2,5
