topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,fuzzy_similarity,semantic_similarity,mrr
topic-12722,recommender system,recommendation engine,llm_expansion_retrieval_llama3.2_3b_full,information retrieval system,"[""information retrieval system"", ""information search"", ""recommendation engine"", ""prediction"", ""collaborative networks""]",5,3.279031991958618,False,True,True,True,1.0,0.9999997615814209,0.3333333333333333
topic-2484,stocks,shares,llm_expansion_retrieval_llama3.2_3b_full,shares,"[""shares"", ""investing"", ""investment funds"", ""investment fund"", ""uncertain investments""]",5,0.6182816028594971,True,True,True,True,1.0,1.0,1.0
topic-4285,equity market,stock market,llm_expansion_retrieval_llama3.2_3b_full,capital markets,"[""capital markets"", ""financial economics"", ""stock market"", ""shares"", ""financial systems""]",5,0.6680684089660645,False,True,True,True,1.0,1.000000238418579,0.3333333333333333
topic-3721,liability law,responsibility law,llm_expansion_retrieval_llama3.2_3b_full,responsibility law,"[""responsibility law"", ""ethical accountability"", ""civil law"", ""civil litigation law"", ""medical law""]",5,0.698007345199585,True,True,True,True,1.0,1.0000001192092896,1.0
topic-1274,accountancy,financial auditing,llm_expansion_retrieval_llama3.2_3b_full,financial reporting,"[""financial reporting"", ""financial management"", ""global accounting standards"", ""financial auditing"", ""financial economics""]",5,0.6388006210327148,False,True,False,True,1.0,1.0000001192092896,0.25
topic-5882,auditors,financial examiners,llm_expansion_retrieval_llama3.2_3b_full,financial auditing,"[""financial auditing"", ""financial accounting"", ""financial examiners"", ""financial management"", ""financial instruments""]",5,0.6649620532989502,False,True,True,True,1.0,1.0,0.3333333333333333
topic-1276,accounting,financial accounting,llm_expansion_retrieval_llama3.2_3b_full,financial reporting,"[""financial reporting"", ""financial management"", ""financial auditing"", ""financial accounting"", ""financial systems""]",5,0.6703948974609375,False,True,False,True,1.0,1.0000001192092896,0.25
topic-1953,acculturation,cultural adaptation,llm_expansion_retrieval_llama3.2_3b_full,social unity,"[""social unity"", ""cultural adaptation"", ""social categorization"", ""social hierarchy"", ""Social understanding""]",5,0.6493048667907715,False,True,True,True,1.0,1.0,0.5
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_expansion_retrieval_llama3.2_3b_full,ecclesiastical authority,"[""ecclesiastical authority"", ""liturgical theology"", ""Ecclesiastical leadership"", ""Christian worship"", ""current liturgical practice""]",5,0.7586297988891602,False,True,False,True,1.0,1.000000238418579,0.2
topic-1980,adhd,attention deficit disorder,llm_expansion_retrieval_llama3.2_3b_full,attention deficit disorder,"[""attention deficit disorder"", ""cognitive decline"", ""psychological disorders"", ""seizure disorder"", ""human development""]",5,0.786325216293335,True,True,True,True,1.0,0.9999998807907104,1.0
topic-4079,administrative law,regulatory law,llm_expansion_retrieval_llama3.2_3b_full,regulatory law,"[""regulatory law"", ""public policy"", ""regulatory economics"", ""financial regulation"", ""administrative litigation""]",5,0.6826589107513428,True,True,True,True,1.0,1.0,1.0
topic-2276,adorno,critical theorist,llm_expansion_retrieval_llama3.2_3b_full,Marxism,"[""Marxism"", ""critical analysis"", ""Marxist theory"", ""critical theorist"", ""Frankfurt School theorist""]",5,0.6710565090179443,False,True,False,True,1.0,1.0000001192092896,0.25
topic-2250,africa,Sub-Saharan region,llm_expansion_retrieval_llama3.2_3b_full,Sub-Saharan region,"[""Sub-Saharan region"", ""refugees"", ""ethnic groups"", ""developing countries"", ""East Europe""]",5,0.6650569438934326,True,True,True,True,1.0,1.0,1.0
topic-1280,agricultural economy,agricultural economics,llm_expansion_retrieval_llama3.2_3b_full,farming,"[""farming"", ""agricultural economics"", ""national economics"", ""global economics"", ""economic development""]",5,0.6758217811584473,False,True,True,True,1.0,1.0,0.5
topic-7782,aggression,hostility,llm_expansion_retrieval_llama3.2_3b_full,hostility,"[""hostility"", ""conflict resolution"", ""disputes"", ""rivalry"", ""work-life conflict""]",5,0.6419365406036377,True,True,True,True,1.0,1.0,1.0
topic-5124,alcohol addiction,alcohol dependence,llm_expansion_retrieval_llama3.2_3b_full,alcohol dependence,"[""alcohol dependence"", ""substance abuse treatment"", ""substance dependence"", ""psychological disorders"", ""disease study""]",5,0.7211105823516846,True,True,True,True,1.0,1.0000001192092896,1.0
topic-2500,general econometrics,economic statistics,llm_expansion_retrieval_llama3.2_3b_full,practical econometrics,"[""practical econometrics"", ""individual econometrics"", ""economic theory"", ""economic statistics"", ""economic science""]",5,0.7418739795684814,False,True,False,True,1.0,1.0,0.25
topic-2501,alliances and joint ventures,strategic partnerships,llm_expansion_retrieval_llama3.2_3b_full,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""collaborative work"", ""strategic planning"", ""businesses""]",5,0.6843712329864502,True,True,True,True,1.0,0.9999998807907104,1.0
topic-1285,foreigners,strangers,llm_expansion_retrieval_llama3.2_3b_full,immigrants,"[""immigrants"", ""Turkish immigrants"", ""refugees"", ""nationality"", ""immigration law""]",5,0.6908302307128906,False,False,False,False,0.4705882352941176,0.32537245750427246,0.0
topic-10501,americanization,Americanisation,llm_expansion_retrieval_llama3.2_3b_full,cultural adaptation,"[""cultural adaptation"", ""global culture"", ""global economics"", ""global commerce"", ""global management""]",5,0.6800158023834229,False,False,False,False,0.4117647058823529,0.4837281107902527,0.0
topic-9362,anxiety,worry,llm_expansion_retrieval_llama3.2_3b_full,worry,"[""worry"", ""investigation"", ""oversight"", ""awareness"", ""melancholy""]",5,0.6908814907073975,True,True,True,True,1.0,1.0,1.0
topic-16802,"Antarctic, Arctic, Polar Regions",polar areas,llm_expansion_retrieval_llama3.2_3b_full,polar areas,"[""polar areas"", ""extreme value analysis"", ""East Europe"", ""head cooling"", ""capital markets""]",5,0.7425124645233154,True,True,True,True,1.0,1.0,1.0
topic-1290,"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,llm_expansion_retrieval_llama3.2_3b_full,religious philosophy,"[""religious philosophy"", ""religious sociology"", ""relationship between anthropology and religious philosophy"", ""religious studies"", ""religious psychology""]",5,0.8731279373168945,False,True,True,True,1.0,1.0,0.3333333333333333
topic-1291,arabic,Arabian,llm_expansion_retrieval_llama3.2_3b_full,Arabian,"[""Arabian"", ""Islamic studies"", ""East Europe"", ""Muslim Communities in the Netherlands"", ""cultural variety""]",5,0.6338112354278564,True,True,True,True,1.0,1.000000238418579,1.0
topic-1292,labour and health,occupational health,llm_expansion_retrieval_llama3.2_3b_full,work-related illnesses,"[""work-related illnesses"", ""occupational health"", ""occupational psychology"", ""employee development"", ""health psychology""]",5,0.7683062553405762,False,True,True,True,1.0,1.0,0.5
topic-1293,industrial and organisational psychology,work psychology,llm_expansion_retrieval_llama3.2_3b_full,occupational psychology,"[""occupational psychology"", ""work psychology"", ""industrial psychology"", ""organizational structure"", ""organizational influence""]",5,0.693549633026123,False,True,True,True,1.0,1.000000238418579,0.5
topic-6581,working hours,working time,llm_expansion_retrieval_llama3.2_3b_full,working time,"[""working time"", ""workweek reduction"", ""short-term employment"", ""employment conditions"", ""employment law""]",5,0.6439616680145264,True,True,True,True,1.0,0.9999998807907104,1.0
topic-1296,labour economics,employment economics,llm_expansion_retrieval_llama3.2_3b_full,employment economics,"[""employment economics"", ""employment relations"", ""industrial economics"", ""employment market"", ""labor unions""]",5,0.7025043964385986,True,True,True,True,1.0,1.0000001192092896,1.0
topic-2201,labour market,employment market,llm_expansion_retrieval_llama3.2_3b_full,employment market,"[""employment market"", ""employment economics"", ""government sector"", ""service sector"", ""labor unions""]",5,0.6479473114013672,True,True,True,True,1.0,1.0000001192092896,1.0
topic-6603,labour market policy,employment policy,llm_expansion_retrieval_llama3.2_3b_full,employment policy,"[""employment policy"", ""employment law"", ""employment economics"", ""employment conditions"", ""personnel management""]",5,0.7277729511260986,True,True,True,True,1.0,0.9999998807907104,1.0
topic-1298,labour market issues,employment issues,llm_expansion_retrieval_llama3.2_3b_full,employment issues,"[""employment issues"", ""employment conditions"", ""occupational health"", ""employment market"", ""occupational psychology""]",5,0.7034363746643066,True,True,True,True,1.0,1.000000238418579,1.0
topic-1299,job motivation,work motivation,llm_expansion_retrieval_llama3.2_3b_full,drive,"[""drive"", ""occupational psychology"", ""proactive engagement"", ""work quality"", ""occupational health""]",5,0.6321032047271729,False,False,False,False,0.5185185185185186,0.4824080169200897,0.0
topic-6661,working conditions,employment conditions,llm_expansion_retrieval_llama3.2_3b_full,occupational health,"[""occupational health"", ""employment conditions"", ""employment law"", ""employment issues"", ""occupational psychology""]",5,0.6723577976226807,False,True,True,True,1.0,1.0,0.5
topic-1300,work participation,employment participation,llm_expansion_retrieval_llama3.2_3b_full,worker participation,"[""worker participation"", ""employment participation"", ""occupational psychology"", ""occupational health"", ""employment economics""]",5,0.708690881729126,False,True,True,True,1.0,1.0,0.5
topic-1301,labour law,employment law,llm_expansion_retrieval_llama3.2_3b_full,employment law,"[""employment law"", ""employment policy"", ""employment conditions"", ""global employment law"", ""industrial economics""]",5,0.675105094909668,True,True,True,True,1.0,0.9999999403953552,1.0
topic-1303,reduction of working hours,workweek reduction,llm_expansion_retrieval_llama3.2_3b_full,workweek reduction,"[""workweek reduction"", ""workload pressure"", ""short-term employment"", ""working time"", ""burnout""]",5,0.734612226486206,True,True,True,True,1.0,1.000000238418579,1.0
topic-1302,industrial/labour relations,employment relations,llm_expansion_retrieval_llama3.2_3b_full,employment relations,"[""employment relations"", ""industrial economics"", ""employment issues"", ""employment policy"", ""employment law""]",5,0.707862377166748,True,True,True,True,1.0,1.0,1.0
topic-1305,working conditions creation,quality of worklife,llm_expansion_retrieval_llama3.2_3b_full,occupational health,"[""occupational health"", ""regulatory law"", ""employee development"", ""work psychology"", ""regulatory economics""]",5,0.7631869316101074,False,False,False,False,0.41025641025641024,0.5037764310836792,0.0
topic-1306,labour issues,employment issues,llm_expansion_retrieval_llama3.2_3b_full,employment issues,"[""employment issues"", ""employment conditions"", ""disputes"", ""employment policy"", ""occupational health""]",5,0.6723568439483643,True,True,True,True,1.0,1.000000238418579,1.0
